NEW PARENT SUPPORT;Adoption Agencies;"home studies" ["home studies and adoption"], "child-family matching" ["adoption"], "adoptive parent education", "birth mother counseling" ["birth parent counseling and adoption"], "birth parent services" ["pregnancy counseling and adoption", "birth parent and adoption"], "domestic adoption" ["us adoption", "adopt us kids"], "foster care adoption", "independent adoption", "infant placement" ["infant adoption", "adopt a baby", "adopt a child"], "international adoption" ["intercountry adoption", "Kazakhstan and adoption", "Mexico and adoption", "Russia and adoption", "China and adoption", "Kyrgyzstan and adoption", "Armenia and adoption", "Bulgaria and adoption", "Guatemala and adoption", "Ethiopia and adoption", "India and adoption", "Japan and adoption", "Korea and adoption", "Morocco and adoption", "Ukraine and adoption", "Romania and adoption", "Dominican Republic and adoption", "Ghana and adoption", "Haiti and adoption", "overseas adoption"], "open adoption", "post-placement services" ["post-adoption counseling"], "special needs adoption", "embryo adoption" ["reproductive assistance and adoption"], "African-American adoption", "Native American adoption", "support groups" [adoption support groups"], "Latino adoption";
NEW PARENT SUPPORT;Adoption Attorneys;"domestic adoption" ["us adoption", "adopt in us", "adopt a baby", "adopt a child"], "assisted reproduction" ["embryo adoption"], "non-traditional family adoption" ["single parent adoption", "domestic partner adoption", "same-sex couple adoption", "LGBT adoption"], "guardianships" ["guardianships and adoption"], "international adoption" ["intercountry adoption", "Kazakhstan and adoption", "Mexico and adoption", "Russia and adoption", "China and adoption", "Kyrgyzstan and adoption", "Armenia and adoption", "Bulgaria and adoption", "Guatemala and adoption", "Ethiopia and adoption", "India and adoption", "Japan and adoption", "Korea and adoption", "Morocco and adoption", "Ukraine and adoption", "Romania and adoption", "Dominican Republic and adoption", "Ghana and adoption", "Haiti and adoption", "Honduras and adoption", "overseas adoption"], "interstate (ICPC) adoption", "newborn adoption" ["infant adoption"], "open adoption", "stepparent adoption", "trans-racial adoption", "agency adoption", "independent adoption", "birth mothers" ["birth mothers and adoption"], "unsealing birth and adoption records", "surrogacy" ["surrogacy and adoption"], "relative adoption", "contested adoption", "grandparent representation" ["grandparent and adoption"], "special needs children" ["special needs children and adoption"];
NEW PARENT SUPPORT;Baby-Proofing Services;"pool safety" ["pool safety and baby", "pool safety and child"], "home evaluation" ["home inspection and baby", "home inspection and child"], "installation", "baby gates", "cabinet latches" ["latches and baby", "latches and child"], "fencing" ["fence and baby", "fence and child"], "door and window safety" ["door and baby", "door and child", "window and baby", "window and child"], "bathroom safety" ["bathroom and baby", "bathroom and child"], "kitchen safety" ["kitchen and baby", "kitchen and child"], "electrical safety" ["electric outlet covers"], "fireplace safety" ["fireplace and child"], "earthquake preparedness" ["earthquake and child"], "balconies and railings" ["balconies and child", "railings and child"], "fire safety" [fire and child"], "furniture safety" ["furniture and baby", "furniture and child", "furniture and toddler"];
NEW PARENT SUPPORT;Child Sleep Consultants;"infant sleep" ["baby sleep", "newborn sleep", "sleep for baby", "sleep and baby", "sleep baby sleep"], "toddler sleep", "big kid sleep", "swaddling", "schedule, ritual, routine building" ["baby sleep schedule"], "attachment", "co-sleeping", "multiples" ["twins and sleep", "twins sleep", "triplets and sleep"], "transitions" ["transition to crib", "transition to toddler bed"], "co-parenting", "sleep training" ["baby sleep training", "baby sleep patterns"], "temperament" ["baby temperament", "child temperament", "the temperaments"], "sleep apnea" ["child sleep apnea"], "overnight consultations" ["baby sleep whisperer"], "sleep safety" ["baby sleep safety", "newborn sleep safety"], "SIDS" ["sudden infant death syndrome", "infant death syndrome", "safe sleep"], "colic/reflux" ["colic baby", "colic babies", "newborn colic", "babies with colic", "babies and colic"], "special needs children" ["special needs children and sleep"], "sleep environment", "troubleshooting non-sleep issues" ["family dynamics and sleep", "potty training and sleep", "toilet training and sleep", "feeding issues and sleep"], "bedwetting" ["bed wetting"], "separation anxiety" ["baby sleep issues"];
NEW PARENT SUPPORT;Doulas;"childbirth classes" ["lamaze childbirth class"], "Montrice services", "water births" ["natural birth"], "water tub rentals" ["water birth tubs"], "hypnosis" ["hypnobirthing", "hypnosis for birth"], "comfort/pain relief during labor" ["breathing techniques during childbirth", "relaxation techniques during labor", "massage during labor", "laboring positions"], "placenta medicine", "new baby care" ["newborn care"], "breastfeeding support" ["for breast feeding", "breastfeed", "lacation support", "lactation consulting", "lactation counseling", "feeding support"], "cleaning, cooking, light housekeeping", "emotional support", "home visits", "overnight services", "phone support", "email support", "infant massage" ["baby massage"], "hospital births", "home births", "birth center births", "postpartum care" ["newborn care"];
NEW PARENT SUPPORT;Lactation Consultants;"fussy eater", "breastfeeding twins" ["nursing twins", "breastfeeding multiples"], "relactation and adoptive nursing" ["nursing lactation", "adoption and nursing"], "slow weight gain, low milk supply" ["slow weight gain for babies"], "premature babies" ["premature baby and nursing", "premature baby and breastfeeding"], "breast pain/nipple pain" ["sore breasts", "breast soreness", "sore breasts and nursing", "sore breasts and breastfeeding"], "engorgement" ["breast engorgement"], "colic-y/fussy baby" ["colic", "colic baby", "baby and colic", "reflux"], "tongue-tie" ["tongue tie baby"], "oral aversion", "positioning and latch" ["baby latching", "breastfeeding latches"], "maternal health problems" ["maternal diabetes", "Polycystic ovary syndrome", "PCOS"], "transitioning back to work" ["work and breastfeeding"], "transitioning back to school" ["school and breastfeeding"], "weaning" ["how to wean", "baby led weaning", "stop breastfeeding"], "breast pumps and other supplies" ["breastfeeding pumps", breastfeeding supplies", "breast pumps"], "hospital visits", "home visits", "phone support", "email support", "breastfeeding classes";
HEALTH;Developmental Pediatricians;"autism spectrum disorders (ASD)" ["autism spectrum disorders", "ASD", "autism spectrum" , "autism", "PDD-NOS", "PDD", "Rett syndrome", "childhood disintegrative disorder", "pervasive developmental disorder"], "Asperger Syndrome" ["Asperger's", "Asperger Disorder"], "Oppositional Defiant Disorder"["ODD"], "ADHD" ["Attention-Deficit Hyperactivity Disorder"], "learning disabilities (LD)" ["learning disorders", "dyslexia", "dysgraphia", "dyscalculia", "nonverbal learning disorder", "nonverbal learning disability", "response to intervention", "RIT"], "cerebral palsy (CP)" ["spastic cerebral palsy", "spastic diplegia", "athetoid cerebral palsy", "spastic quadriplegia", "ataxic cerebral palsy", "mixed cerebral palsy", "spastic tetraplegia", "athetoid/dyskinetic cerebral palsy"], "behavior issues/discipline problems" ["behavior issues", "discipline problems", "oppositional defiant disorder", "behavior disorders", "conduct disorders"], "Spina Bifida, Chiari malformations, and other congenital disorders" ["spina bifida", "Chiari malformations", "Chiari malformation", "Arnold-Chiari malformations", "Arnold-Chiari malformation", "congenital malformations", "congenital malformation", "congenital disorders", "congenital disorder"], "genetic developmental disorders (Down Syndrome, Fragile X Syndrome, etc.)" ["Down Syndrome", "Fragile X Syndrome", "chromosomal abnormalities", "chromosomal abnormality", "genetic developmental disorders"], "developmental delays (speech disorders, motor skills disorders, etc.)" ["developmental delay", "language disorders", "language disorder", "speech disorders", "speech disorder", "reading disorders", "reading disorder", "specific developmental disorders", "specific developmental disorder", "motor skills disorders", "motor skills disorder",  "spelling disorders", "spelling disorder", "motor function disorders", "motor function disorder"], "Tourette syndrome, other tic disorders, and stereotypic movement disorders" ["Tourette's", "Tourette's syndrome", "Tourette's disorder", "tic disorder", "tic disorders", "transient tic disorder", "chronic tic disorder", "tic disorder NOS", "stereotypic movement disorder", "stereotypic movement disorders"], "high-risk or preterm infants" ["high-risk infant", "high-risk infants", "preterm infant", "preterm infants", "preemie", "preemies", "premature infant", "premature infants"], "visual and hearing impairments" ["hearing impairment", "hearing impairments", "visual impairment", "visual impairments", "vision impairment", "vision impairments"], "intellectual disabilities" ["intellectual disability", "mental retardation"], "behavior assessments" ["behavior assessment", "behavioral assessment", "behavioral assessments", "functional behavior assessment", "functional behavior assessments", "functional behavioral assessment", "functional behavioral assessments", "FBA"], "parent support and coaching" ["parent support", "parent coaching", "parent training", "parental support and coaching", "parental support", "parental coaching", "parental training"], "giftedness" ["gifted children"];
HEALTH;Family Care Practitioners;"pediatric medicine" ["kids' medicine", "kids' doctors"], "adolescent medicine" ["doctors for teenagers"], "general care" ["general health care", "general medical care"], "comprehensive care" ["primary care"], "preventative care" ["immunization", "immunizations", "routine exams", "routine examinations"], "women's health" ["birth control", "family planning", "Pap smears", "Pap tests", "breast exams", "breast examinations", "gynecological exams", "gynecological examinations"], "nutrition and weight management" ["nutrition", "nutrition counseling", "weight management"], "mental and emotional health" ["mental health", "emotional health"];
HEALTH;Fertility Specialists;"artificial/intrauterine insemination" ["artificial insemination", "intrauterine insemination", "IUI"], "in vitro fertilization (IVF)" ["in vitro fertilization", "IVF", "natural IVF", "natural cycle IVF", "modified natural cycle IVF", "mild IVF", "embryo transfer", "ovarian hyperstimulation", "embryo culture", "intracytoplasmic sperm injection", "ICSI", "egg preparation", "sperm preparation", "embryo selection", "luteal support", "final oocyte maturation", "assisted zona hatching", "AZH"], "assisted hatching" ["assisted zona hatching", "AZH"], "sperm aspiration" ["testicular sperm aspiration", "epididymal sperm asperation", "percutatneous epididymal sperm aspiration"], "intracytoplasmic sperm injection" ["ICSI"], "male infertility" ["male factor infertility", "low sperm count", "low sperm motility"], "endometriosis", "polycystic ovary syndrome (PCOS)" ["polycystic ovary syndrome", "PCOS", "polycystic ovary disease"], "fallopian tube disorders" ["PID", "pelvic inflammatory disease", "salpingitis", "hydrosalpinx", "pyosalpinx"], "fibroids, polyps, and uterine disorders" ["uterine fibroids", "myoma", "uterine myoma", "fibromyoma", "uterine fibromyoma", "fibroleiomyoma", "uterine fibroleiomyoma", "uterine polyps", "uterine disorders", "PID", "pelvic inflammatory disease"], "low responders" ["low responders IVF", "poor responders", "poor responders IVF"], "blastocyst transfer", "frozen embryo transfer (FET)" ["frozen embryo transfer", "FET"], "single embryo transfer (SET)" ["single embryo transfer"], "fertility testing" ["infertility testing", "fertility screening", "infertility screening"], "unexplained infertility" ["idiopathic infertility"], "lymphocyte immunization therapy (LIT)", "egg freezing/vitrification" ["egg freezing", "egg vitrification"], "recurrent miscarriages" ["recurrent pregnancy loss", "habitual abortion"], "fertility preservation", "fertility medication" ["clomid", "clomiphene", "serophene"], "pregnancy after age 40" ["pregnancy after 40"], "pregnancy after age 30" ["pregnancy after 30"], "pre-implantation genetic diagnosis (PGD) and pre-implantation genetic screening (PGS)", ["pre-implantation genetic diagnosis", "pre-implantation genetic screening"], "chromosome screening", "genetic counseling", "gender selection", "egg donation, sperm donation, and third party pregnancy" ["egg donation", "sperm donation", "embryo donation", "third-party reproduction", "third-party pregnancy", "surrogacy", "gestational carrier", "gestational surrogacy", "traditional surrogacy", "surrogate pregnancy"], "reproductive surgery (vasectomy reversal, tubal ligation reversal, salpingostomy, etc.)" ["reproductive surgery", "vasectomy reversal", "tubal ligation reversal", "tubal reanastomosis", "salpingostomy", "salpingectomy", "tubal cannulation", "fimbrioplasty"];
HEALTH;Midwives; "prenatal care" ["midwifery care"], "labor and delivery" ["laboring positions and midwives", "pain management and midwives", "midwifery care"], "hospital births" ["hospital births and midwives", "midwifery care"], "birth-center births" ["birth center births and midwives", "midwifery care"], "home births" ["home births and midwives", "midwifery care"], "water births" ["water births and midwives", "midwifery care"], "water tubs" ["water tubs and midwives", "midwifery care", "water tub rentals"], "postpartum care" ["postpartum care and midwives", "midwifery care"], "preconception counseling" ["preconception counseling and midwives", "midwifery care"], "genetic testing" ["genetic testing and midwives", "midwifery care"], "blood and lab work" ["blood and lab work and midwives", "blood and lab work and midwifery care"], "breastfeeding support" ["breastfeeding support and midwives", "midwifery care"], "well-baby care" ["well baby care and midwives", "midwifery care"], "well-woman care" ["well woman care and midwives", "midwifery care", "family planning services and midwives", "reproductive health services and midwives", "gynecological exams and midwives", "menopausal support"];
